2023/07/12 19:50:37 Parsing output variable expressions...
2023/07/12 19:50:37 Loading emissions shapefile: /home/tfmrodge/scratch/GEMMACH_data/data/Inmap_outputs/Emissions/Emissions_shp/NPRI/NPRI_ground_211.shp.
2023/07/12 19:50:37 Loading emissions shapefile: /home/tfmrodge/scratch/GEMMACH_data/data/Inmap_outputs/Emissions/Emissions_shp/NPRI/NPRI_stack_211.shp.
2023/07/12 19:50:38 Loading CTM data...
2023/07/12 19:50:38 Reading input data...
2023/07/12 19:56:58 Loading population and mortality rate data...
2023/07/12 19:57:41 Initializing model...
2023/07/13 15:31:59 Emission totals:
2023/07/13 15:31:59 gOrg, 3.4978248827371874e+09 μg/s
2023/07/13 15:31:59 pOrg, 0 μg/s
2023/07/13 15:31:59 PM2_5, 3.215161032153733e+08 μg/s
2023/07/13 15:31:59 gNH, 4.7608873946145065e+07 μg/s
2023/07/13 15:31:59 pNH, 0 μg/s
2023/07/13 15:31:59 gS, 2.258513914035739e+09 μg/s
2023/07/13 15:31:59 pS, 0 μg/s
2023/07/13 15:31:59 gNO, 2.3248414121830726e+09 μg/s
2023/07/13 15:31:59 pNO, 0 μg/s
2023/07/13 15:45:29 iteration 121   walltime=  19.8h  Δwalltime= 6.1s  timestep= 2s  day=0.00307
2023/07/13 15:45:35 iteration 122   walltime=  19.8h  Δwalltime= 6.2s  timestep= 2s  day=0.0031
2023/07/13 15:45:46 iteration 123   walltime=  19.8h  Δwalltime=  11s  timestep= 2s  day=0.00312
2023/07/13 15:45:54 iteration 124   walltime=  19.8h  Δwalltime= 8.6s  timestep= 2s  day=0.00315
2023/07/13 15:46:03 iteration 125   walltime=  19.8h  Δwalltime= 8.5s  timestep= 2s  day=0.00317
2023/07/13 15:46:11 iteration 126   walltime=  19.8h  Δwalltime= 8.5s  timestep= 2s  day=0.0032
2023/07/13 15:46:20 iteration 127   walltime=  19.8h  Δwalltime= 8.5s  timestep= 2s  day=0.00322
2023/07/13 15:46:28 iteration 128   walltime=  19.8h  Δwalltime= 8.4s  timestep= 2s  day=0.00325
2023/07/13 15:46:35 iteration 129   walltime=  19.8h  Δwalltime= 6.7s  timestep= 2s  day=0.00327
2023/07/13 15:46:41 iteration 130   walltime=  19.8h  Δwalltime= 6.3s  timestep= 2s  day=0.0033
2023/07/13 15:46:48 iteration 131   walltime=  19.8h  Δwalltime= 6.3s  timestep= 2s  day=0.00332
2023/07/13 15:46:54 iteration 132   walltime=  19.8h  Δwalltime= 6.5s  timestep= 2s  day=0.00335
2023/07/13 15:47:01 iteration 133   walltime=  19.8h  Δwalltime= 6.3s  timestep= 2s  day=0.00337
2023/07/13 15:47:07 iteration 134   walltime=  19.8h  Δwalltime= 6.4s  timestep= 2s  day=0.0034
2023/07/13 15:47:13 iteration 135   walltime=  19.8h  Δwalltime= 6.3s  timestep= 2s  day=0.00342
2023/07/13 15:47:20 iteration 136   walltime=  19.8h  Δwalltime= 6.3s  timestep= 2s  day=0.00345
2023/07/13 15:47:26 iteration 137   walltime=  19.8h  Δwalltime= 6.5s  timestep= 2s  day=0.00348
2023/07/13 15:47:32 iteration 138   walltime=  19.8h  Δwalltime= 6.4s  timestep= 2s  day=0.0035
2023/07/13 15:47:39 iteration 139   walltime=  19.8h  Δwalltime= 6.6s  timestep= 2s  day=0.00353
2023/07/13 15:47:45 iteration 140   walltime=  19.8h  Δwalltime= 6.4s  timestep= 2s  day=0.00355
2023/07/13 15:47:52 iteration 141   walltime=  19.8h  Δwalltime= 6.4s  timestep= 2s  day=0.00358
2023/07/13 15:47:58 iteration 142   walltime=  19.8h  Δwalltime= 6.3s  timestep= 2s  day=0.0036
2023/07/13 15:48:05 iteration 143   walltime=  19.8h  Δwalltime= 6.4s  timestep= 2s  day=0.00363
2023/07/13 15:48:11 iteration 144   walltime=  19.8h  Δwalltime= 6.6s  timestep= 2s  day=0.00365
2023/07/13 15:48:18 iteration 145   walltime=  19.8h  Δwalltime= 6.3s  timestep= 2s  day=0.00368
2023/07/13 15:48:24 iteration 146   walltime=  19.8h  Δwalltime= 6.8s  timestep= 2s  day=0.0037
2023/07/13 15:48:31 iteration 147   walltime=  19.8h  Δwalltime= 6.7s  timestep= 2s  day=0.00373
2023/07/13 15:48:39 iteration 148   walltime=  19.8h  Δwalltime= 8.4s  timestep= 2s  day=0.00375
2023/07/13 15:48:48 iteration 149   walltime=  19.9h  Δwalltime= 8.4s  timestep= 2s  day=0.00378
2023/07/13 15:48:56 iteration 150   walltime=  19.9h  Δwalltime= 8.6s  timestep= 2s  day=0.00381
2023/07/13 15:49:05 iteration 151   walltime=  19.9h  Δwalltime= 8.5s  timestep= 2s  day=0.00383
2023/07/13 15:49:13 iteration 152   walltime=  19.9h  Δwalltime= 8.6s  timestep= 2s  day=0.00386
2023/07/13 15:49:22 iteration 153   walltime=  19.9h  Δwalltime= 8.5s  timestep= 2s  day=0.00388
2023/07/13 15:49:30 iteration 154   walltime=  19.9h  Δwalltime= 7.7s  timestep= 2s  day=0.00391
2023/07/13 15:49:36 iteration 155   walltime=  19.9h  Δwalltime= 6.4s  timestep= 2s  day=0.00393
2023/07/13 15:49:42 iteration 156   walltime=  19.9h  Δwalltime= 6.3s  timestep= 2s  day=0.00396
2023/07/13 15:49:49 iteration 157   walltime=  19.9h  Δwalltime= 6.3s  timestep= 2s  day=0.00398
2023/07/13 15:49:55 iteration 158   walltime=  19.9h  Δwalltime= 6.8s  timestep= 2s  day=0.00401
2023/07/13 15:50:02 iteration 159   walltime=  19.9h  Δwalltime= 6.3s  timestep= 2s  day=0.00403
2023/07/13 15:50:08 iteration 160   walltime=  19.9h  Δwalltime= 6.3s  timestep= 2s  day=0.00406
2023/07/13 15:50:14 iteration 161   walltime=  19.9h  Δwalltime= 6.2s  timestep= 2s  day=0.00408
2023/07/13 15:50:20 iteration 162   walltime=  19.9h  Δwalltime= 6.3s  timestep= 2s  day=0.00411
2023/07/13 15:50:27 iteration 163   walltime=  19.9h  Δwalltime= 6.4s  timestep= 2s  day=0.00414
2023/07/13 15:50:33 iteration 164   walltime=  19.9h  Δwalltime= 6.4s  timestep= 2s  day=0.00416
2023/07/13 15:50:40 iteration 165   walltime=  19.9h  Δwalltime= 6.5s  timestep= 2s  day=0.00419
2023/07/13 15:50:46 iteration 166   walltime=  19.9h  Δwalltime= 6.7s  timestep= 2s  day=0.00421
2023/07/13 15:50:53 iteration 167   walltime=  19.9h  Δwalltime= 6.5s  timestep= 2s  day=0.00424
2023/07/13 15:50:59 iteration 168   walltime=  19.9h  Δwalltime= 6.3s  timestep= 2s  day=0.00426
2023/07/13 15:51:05 iteration 169   walltime=  19.9h  Δwalltime= 6.3s  timestep= 2s  day=0.00429
2023/07/13 15:51:11 iteration 170   walltime=  19.9h  Δwalltime= 6.1s  timestep= 2s  day=0.00431
2023/07/13 15:51:18 iteration 171   walltime=  19.9h  Δwalltime= 6.2s  timestep= 2s  day=0.00434
2023/07/13 15:51:24 iteration 172   walltime=  19.9h  Δwalltime= 6.4s  timestep= 2s  day=0.00436
2023/07/13 15:51:33 iteration 173   walltime=  19.9h  Δwalltime=   9s  timestep= 2s  day=0.00439
2023/07/13 15:51:41 iteration 174   walltime=  19.9h  Δwalltime= 8.4s  timestep= 2s  day=0.00441
2023/07/13 15:51:50 iteration 175   walltime=  19.9h  Δwalltime= 8.5s  timestep= 2s  day=0.00444
2023/07/13 15:51:58 iteration 176   walltime=  19.9h  Δwalltime= 8.4s  timestep= 2s  day=0.00446
2023/07/13 15:52:06 iteration 177   walltime=  19.9h  Δwalltime= 8.4s  timestep= 2s  day=0.00449
2023/07/13 15:52:15 iteration 178   walltime=  19.9h  Δwalltime= 8.4s  timestep= 2s  day=0.00452
2023/07/13 15:52:23 iteration 179   walltime=  19.9h  Δwalltime= 8.4s  timestep= 2s  day=0.00454
2023/07/13 15:52:30 iteration 180   walltime=  19.9h  Δwalltime= 6.4s  timestep= 2s  day=0.00457
2023/07/13 15:52:36 iteration 181   walltime=  19.9h  Δwalltime= 6.3s  timestep= 2s  day=0.00459
2023/07/13 15:52:42 iteration 182   walltime=  19.9h  Δwalltime= 6.2s  timestep= 2s  day=0.00462
2023/07/13 15:52:48 iteration 183   walltime=  19.9h  Δwalltime= 6.2s  timestep= 2s  day=0.00464
2023/07/13 15:52:55 iteration 184   walltime=  19.9h  Δwalltime= 6.4s  timestep= 2s  day=0.00467
2023/07/13 15:53:01 iteration 185   walltime=  19.9h  Δwalltime=   6s  timestep= 2s  day=0.00469
2023/07/13 15:53:07 iteration 186   walltime=  19.9h  Δwalltime= 6.2s  timestep= 2s  day=0.00472
2023/07/13 15:53:13 iteration 187   walltime=  19.9h  Δwalltime= 6.2s  timestep= 2s  day=0.00474
2023/07/13 15:53:19 iteration 188   walltime=  19.9h  Δwalltime= 6.2s  timestep= 2s  day=0.00477
2023/07/13 15:53:26 iteration 189   walltime=  19.9h  Δwalltime= 6.4s  timestep= 2s  day=0.00479
2023/07/13 15:53:32 iteration 190   walltime=  19.9h  Δwalltime= 6.3s  timestep= 2s  day=0.00482
2023/07/13 15:53:39 iteration 191   walltime=  19.9h  Δwalltime= 6.6s  timestep= 2s  day=0.00485
2023/07/13 15:53:45 iteration 192   walltime=  19.9h  Δwalltime= 6.2s  timestep= 2s  day=0.00487
2023/07/13 15:53:51 iteration 193   walltime=  19.9h  Δwalltime= 6.3s  timestep= 2s  day=0.0049
2023/07/13 15:53:57 iteration 194   walltime=  19.9h  Δwalltime= 6.2s  timestep= 2s  day=0.00492
